id,name,location,era,description,history,cultural_significance,images,latitude,longitude,created_at
0ea9e541-0867-4c1f-80a4-ac7063a948e2,LACHUNG SAMTEN CHOLING MONASTERY,North,1850 A.D,"Located in the scenic high-altitude village of Lachung in North Sikkim, this monastery is a vibrant spiritual and community hub. It is often referred to simply as Lachung Gompa and is known for its picturesque setting.","Founded in 1850, the monastery has been the heart of the Lachung community for generations. It is a center for both the religious and social life of the Lachungpa people.","Lachung Monastery is famous for its annual 'Chaam' or masked dance festival, which is a major cultural attraction.Its traditional architecture and the active participation of the local community make it a lively center of faith.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/LACHUNG_SAMTEN_CHOLING_MONASTERY_1.jpg""]",27.68887745,88.74879822,2025-09-11 15:03:36.129698+00
15db440c-ac58-40e8-84b1-58c102d55e71,SIMIG MONASTERY,East,1843 A.D,Simig 'Sangag Duduling' Monastery is a peaceful Nyingma monastery located in East Sikkim. It is known for its connection to a highly accomplished Yogi and its historical lineage of reincarnate lamas.,"Founded in 1843 A.D. by a saint named Ralchhen Wosel Dorje, a disciple of Palri Tulku Pema Wangyal of Tibet. The monastery was later reconstructed by Burmiok Tulku, who was recognized as the reincarnation of its founder.","The monastery's significance is tied to its founder, a highly respected Yogi, and the tradition of reincarnation associated with its leadership. It serves as an important spiritual center for the followers of the Nyingma tradition in the area.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/SIMIG_MONASTERY_1.jpg""]",27.296136,88.472931,2025-09-11 15:01:57.749289+00
189f0d7c-f856-4c1d-8d10-eb2e3345bb7b,AMBA MAMRING MONASTERY,East,1929 A.D,Amba Mamring Monastery is a Nyingmapa monastery located in East Sikkim. It is a community-based institution that serves the local Buddhist population.,The monastery was built by a Lepcha Buddhist in 1929 A.D. It follows the Nyingmapa sect and has been a center for regular religious ceremonies and pujas for nearly a century.,"Amba Mamring is an important local religious hub that performs all the periodical pujas throughout the year. It plays a vital role in the spiritual life of the Mamring area, preserving the Nyingmapa traditions for the local community.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/Gemini_Generated_Image_u5y9vnu5y9vnu5y9.png""]",27.18653,88.54859,2025-09-11 15:02:11.38161+00
1bd1b00d-d013-4734-b38f-6900575d59da,HEE GYATHANG MONASTERY,North,1914 A.D,"Located in Upper Dzongu, Hee Gyathang Monastery is a vibrant center of worship for the local Buddhist community. It is known for its colorful Tibetan-style architecture and its active role in community life.","The monastery was founded by a hermit named Abi Putso Rangdrol to provide a place for prayer. The current structure is the third relocation, built with local consensus after earlier sites were damaged.",Hee Gyathang is a focal point of spiritual life in Dzongu and is particularly known for its annual masked dance festival (Cham). The monastery's resilience and community-led rebuilding efforts highlight its deep importance to the local people.,"[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/HEE_GYATHANG_MONASTERY_1.jpg""]",27.47605021,88.50118029,2025-09-11 15:03:45.093416+00
1e44c753-cac0-4c93-a222-3d495cba6d75,DUCHI GYALTON MONASTERY,East,2002 A.D,"Located in lower Sichey, Gangtok, the Duchi Gyalton Monastery is a Karma Kagyupa monastery built to house the sacred relics of the late Gyalton Rinpoche. It is a modern monastery with a deep connection to a revered lama.","The monastery was built in 2003 by Ven. Tulku Thinlay Dawa Topden on land donated by Prince Wangchuk Namgyal. The main altar contains a chorten with the relics of Gyalton Rinpoche, which were shifted from the Tsuklakhang Royal Chapel.","Its primary significance is as a reliquary, a sacred place that houses the remains of a high lama, making it a site of great devotion. The monastery serves as an educational center for a small community of novice monks of the Karma Kagyu school.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/DUCHI_GYALTON_MONASTERY_1.jpg""]",27.3365,88.6155,2025-09-11 15:02:35.556304+00
22534554-7384-4485-b45a-855ecef54097,PABYUK MONASTERY,East,1875 A.D,"Pabyuk Monastery, known by its religious name 'Tashi Choling Gon', is located in the village of Pabyuk in East Sikkim. It is a center for the Drukpa Kagyu sect of Tibetan Buddhism.",The monastery was founded in 1875 A.D. by a lama named Ralchhen Kalzang Chhophel. It has since served as a key religious institution for the followers of the Drukpa Kagyu tradition in the area.,"Pabyuk Monastery is important for upholding the specific traditions of the Drukpa Kagyu school, which is a sub-sect of the Kagyupa order. It acts as a spiritual hub for the village and preserves a specific lineage of Buddhist practice.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/PABYUK_MONASTERY_1.jpg""]",27.35261,88.201584,2025-09-11 15:02:03.080259+00
279a360d-4384-4da6-ad06-c00bdbae07c8,LABRANG MONASTERY,North,1844 A.D,"Labrang Monastery, or 'Palden Phuntshog Phodrang', is one of the most important Nyingmapa monasteries in North Sikkim, located near Phodong. It is noted for its beautiful architecture and rich collection of murals.",The monastery was founded in the mid-19th century by Gyalsre Rigzin Chophel Chenpo. It has been an influential center of the Nyingma lineage in the northern part of Sikkim for over 150 years.,Labrang Monastery is highly significant for its well-preserved frescoes and its role as a major seat of the Nyingma sect in the region. It is a key center for Buddhist learning and practice in North Sikkim.,"[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/LABRANG_MONASTERY_1.jpg""]",27.41820486,88.579534,2025-09-11 15:03:34.905299+00
27a15a97-99cc-4879-a334-1007fbf918d2,NAGE UGEN SANGDOLING MONASTERY,North,1937 A.D,"Nage 'Ugen Sangdoling' Monastery is a Nyingmapa institution located at Naga, North Sikkim. It serves the spiritual needs of the local Buddhist community and was established on the advice of a high lama.",The monastery was established following the advice of the High Lama Kyabgon Batrul Rinpoche. It began as a 'Mani Lhakhang' (prayer house) before being developed into the full-fledged monastery that is under construction.,Its establishment under the guidance of a highly respected Rinpoche gives it special spiritual significance. It stands as a testament to the community's devotion and their efforts to create a proper center for practice and learning.,"[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/NAGE_UGEN_SANGDOLING_MONASTERY_1.jpg""]",27.53619433,88.61941986,2025-09-11 15:03:48.804995+00
27abdc71-3ed4-44cd-a3d8-27f90979fe93,CHOTEN MONASTERY,East,1946 A.D,"Choten Monastery, located in the premises of the Deorali Dudul Chorten in Gangtok, is a major Nyingmapa monastic school. It has grown from a small residence into a large and well-established institution.","The site began with a small residential Lhakhang built by H.E. Trulshig Rinpoche in 1946. It was significantly developed after H.E. Dodrubchen Rinpoche came from Tibet in 1959, and it grew into a large monastery with several hundred monks.","The monastery is a very important center for monastic education in the Nyingma tradition. Its location next to the sacred Dudul Chorten, a stupa built to drive away evil spirits, makes it a significant pilgrimage and learning site in Gangtok.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/CHOTEN_MONASTERY_1.jpg""]",27.3222,88.613,2025-09-11 15:02:12.662561+00
280bebfa-efb1-449d-9525-3caf93accded,RINAK MONASTERY,East,1841 A.D,"Rinak Monastery, with the religious name 'Paljor Phuntshog', is a key institution of the Drukpa Kagyu lineage in East Sikkim. It provides religious guidance and a place of worship for the local community.",The monastery was originally founded as a small shrine by Saint Konchhog Gyaltshen. His lineage holders later re-established it at its current site in 1841 A.D. and it has since been an important center for this particular Buddhist sect.,"Its cultural importance lies in its adherence to the Bhara Kagyu lineage of the Drukpa Kagyu school. In its earlier days, it sought spiritual guidance from the late Kagyu Tulku, who was considered the spiritual head of this sect in the region.","[""https://mltokacjlighkvmjfpfr.supabase.co/storage/v1/object/public/monastery-images/Gemini_Generated_Image_u5y9vnu5y9vnu5y9.png""]",27.25074766,88.27278043,2025-09-11 15:01:54.672656+00
